,Unnamed: 0,name,year,score,voters_count,plot
41,41, Jurassic Park,1993,8.2,1.1M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
42,42, The Boondock Saints,1999,7.7,250K,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
43,43, The Descent,2005,7.2,246K,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators."
44,44, The Goonies,1985,7.7,297K,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
45,45, The Outsiders,1983,7.0,97K,"In a small Oklahoma town in 1964, the rivalry between two gangs, the poor Greasers and the rich Socs, heats up when one gang member accidentally kills a member of the other."
46,46, Heat,1995,8.3,716K,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
47,47, Ghostbusters II,1989,6.6,223K,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.
48,48, The Passion of the Christ,2004,7.2,248K,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem."
49,49, The Princess Bride,1987,8.0,450K,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
50,50, Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1.2M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
51,51, Requiem for a Dream,2000,8.3,895K,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..
52,52, Top Gun,1986,6.9,500K,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom."
53,53, Back to the Future,1985,8.5,1.3M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
54,54, Romeo + Juliet,1996,6.7,244K,Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.
55,55, The Godfather Part II,1974,9.0,1.4M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
56,56, Memento,2000,8.4,1.3M,A man with short-term memory loss attempts to track down his wife's murderer.
57,57, Not Another Teen Movie,2001,5.8,115K,A sendup of all the teen movies that have accumulated in the past two decades.
58,58, Once Upon a Time in America,1984,8.3,376K,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
59,59, 28 Days Later,2002,7.5,443K,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
60,60, Pride & Prejudice,2005,7.8,329K,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
61,61, Apocalypse Now,1979,8.4,707K,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
62,62, Highlander,1986,7.0,147K,"An immortal Scottish swordsman must confront the last of his immortal opponents, a murderously brutal barbarian who lusts for the fabled ""Prize""."
63,63, Star Wars: Episode IV - A New Hope,1977,8.6,1.4M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
64,64," Lock, Stock and Two Smoking Barrels",1998,8.1,614K,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
65,65, One Flew Over the Cuckoo's Nest,1975,8.7,1.1M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
66,66, Spirited Away,2001,8.6,844K,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
67,67, Batman Begins,2005,8.2,1.6M,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
68,68, Saving Private Ryan,1998,8.6,1.5M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
69,69, Donnie Darko,2001,8.0,847K,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
70,70, Taxi Driver,1976,8.2,916K,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
71,71, The Lion King,1994,8.5,1.1M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
72,72, 10 Things I Hate About You,1999,7.3,382K,"A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat."
73,73, Fast Times at Ridgemont High,1982,7.1,115K,"A group of Southern California high school students are enjoying their most important subjects: sex, drugs and rock n' roll."
74,74, The Green Mile,1999,8.6,1.4M,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution."
75,75, A Clockwork Orange,1971,8.3,878K,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
76,76, Oldboy,2003,8.3,632K,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
77,77, Far and Away,1992,6.6,68K,"A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely."
78,78, Eyes Wide Shut,1999,7.5,373K,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing."
79,79, Grease,1978,7.2,299K,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
80,80, Blow,2001,7.5,274K,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States."
81,81, Kingdom of Heaven,2005,7.3,313K,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people."
82,82, Spider-Man,2002,7.4,876K,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy."
83,83, The Blues Brothers,1980,7.9,214K,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
84,84, Star Wars: Episode I - The Phantom Menace,1999,6.5,853K,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory."
85,85, Pretty Woman,1990,7.1,360K,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
86,86, Erin Brockovich,2000,7.4,220K,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.
87,87, Showgirls,1995,5.1,74K,"A mysterious young drifter who calls herself Nomi Malone hitches a ride to Las Vegas, Nevada, and begins working as a strip club dancer, and sets about clawing her way to the top of the Vegas showgirls."
88,88, Fargo,1996,8.1,724K,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
89,89, School of Rock,2003,7.2,329K,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band."
90,90, X-Men,2000,7.3,644K,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
91,91, Bring It On,2000,6.1,105K,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.
92,92, Basic Instinct,1992,7.1,218K,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.
93,93, Mad Max,1979,6.8,221K,"In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang."
94,94, The Terminator,1984,8.1,921K,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
95,95, Dirty Dancing,1987,7.0,255K,"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle."
96,96, Harry Potter and the Goblet of Fire,2005,7.7,679K,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
97,97, The Lord of the Rings: The Two Towers,2002,8.8,1.8M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
98,98, The Shining,1980,8.4,1.1M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
99,99, Terminator 2: Judgment Day,1991,8.6,1.2M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
100,100, Sixteen Candles,1984,7.0,126K,"A girl's ""sweet"" sixteenth birthday is anything but special: her family forgets about it, and she suffers from every embarrassment possible."
101,101, The Truman Show,1998,8.2,1.2M,An insurance salesman discovers his whole life is actually a reality TV show.
102,102, The Dreamers,2003,7.1,131K,A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.
103,103, The Parent Trap,1998,6.6,154K,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together."
104,104, True Lies,1994,7.3,280K,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States."
105,105, Internal Affairs,1990,6.5,22K,An Internal Affairs agent becomes obsessed with bringing down a cop who has managed to maintain a spotless reputation despite being involved in a web of corruption.
106,106, Troy,2004,7.3,568K,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved."
107,107, The Big Lebowski,1998,8.1,857K,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
108,108, City of God,2002,8.6,798K,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
109,109, The Talented Mr. Ripley,1999,7.4,237K,"In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures."
110,110, Airplane!,1980,7.7,260K,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers."
111,111, Ocean's Eleven,2001,7.7,616K,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
112,112, Braveheart,1995,8.3,1.1M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
113,113, Scarface,1983,8.3,912K,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
114,114, Jumanji,1995,7.1,375K,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
115,115, The Usual Suspects,1995,8.5,1.1M,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
116,116," Salò, or the 120 Days of Sodom",1975,5.8,66K,"In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to 120 days of physical, mental, and sexual torture."
117,117, Raiders of the Lost Ark,1981,8.4,1M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
118,118, The Mummy,1999,7.1,459K,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love."
119,119, Catch Me If You Can,2002,8.1,1.1M,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
