,Unnamed: 0,name,year,score,voters_count,plot
2709,2709, The Adventures of Ford Fairlane,1990,6.4,19K,A vulgar private detective is hired to find a missing groupie and is drawn into a mystery involving a series of murders tied to the music industry.
2710,2710, The Beguiled,1971,7.2,19K,"While recuperating in a Confederate girls' boarding school, a Union soldier cons his way into each of the lonely women's hearts, causing them to turn on each other, and eventually, on him."
2711,2711, Seven Minutes in Heaven,1986,5.9,2.1K,"When her father goes out of town, beautiful A-student Natalie lets best friends Jeff and Polly move in. Separately and together, the trio of young teens learn much about life, love, and growing up."
2712,2712, Horror Express,1972,6.5,13K,"While on the Trans-Siberian Express, an anthropologist and his rival must contain the threat posed by the former's cargo: a prehistoric ape which is the host for a parasitic life-form."
2713,2713, Kangaroo Jack,2003,4.5,34K,"Two childhood friends, a New York hairstylist and a would-be musician, get caught up with the mob and are forced to deliver $50,000 to Australia, but things go haywire when the money is lost to a wild kangaroo."
2714,2714, Anna and the King,1999,6.7,39K,"The story of the romance between the King of Siam and widowed British schoolteacher, Anna Leonowens, during the 1860s."
2715,2715, Murder at 1600,1997,6.1,33K,A young woman is murdered in the White House. Homicide detective Regis investigates while Secret Service works against him. He's assigned agent Chance. She eventually cooperates after a man's framed.
2716,2716, The Transformers: The Movie,1986,7.2,42K,"The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons."
2717,2717, Eaten Alive,1976,5.5,8.6K,"A psychotic redneck, who owns a dilapidated hotel in rural East Texas, kills various people who upset him or his business, and he feeds their bodies to a large crocodile that he keeps as a pet in the swamp beside his hotel."
2718,2718, Maniac Cop,1988,6.0,20K,A killer dressed in a police uniform begins murdering innocent people on the streets of New York City.
2719,2719, Johnny Be Good,1988,4.6,7.3K,"Johnny's the top high-school football player and many colleges want him. His girlfriend, coach and best friend want him in the college, serving themselves most."
2720,2720, Wild Hearts Can't Be Broken,1991,7.2,5.8K,"Thrilled by a performance she sees at a fair, Sonora Webster tries to land a spot as a daredevil who rides horses off of high dives."
2721,2721, Samurai Cop,1991,4.6,10K,"Joe Marshall and Frank Washington are two tenacious police detectives who seek at all costs to stop the Katana, a renegade Yakuza gang composed of violent and sadistic killers who want to lead the drug trade in Los Angeles."
2722,2722, Assassins,1995,6.3,88K,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
2723,2723, The Castle,1997,7.6,17K,"A working-class family from Melbourne, Australia fights city hall after being told they must vacate their beloved family home to allow for infrastructural expansion."
2724,2724, Police Academy 5: Assignment: Miami Beach,1988,4.6,38K,"The Police Academy's commandant will be honored at a police convention in Miami Beach. At the airport he picks a wrong bag with stolen diamonds. The ""owners"" want them back."
2725,2725, Superstar,1999,5.2,20K,"A nerdy Catholic schoolgirl, Mary Katherine Gallagher, dreams of superstardom."
2726,2726, The Panic in Needle Park,1971,7.1,20K,"Follows the lives of heroin addicts who frequent ""Needle Park"" in New York City."
2727,2727, Tequila Sunrise,1988,6.0,34K,"A former L.A. drug dealer tries to go straight but his past and his underworld connections bring him into the focus of the DEA, the Mexican feds and the Mexican drug cartels."
2728,2728, Human Traffic,1999,7.1,27K,Five youngsters embrace the 90s clubbing scene on a drug-fuelled weekend of partying in Cardiff.
2729,2729, RocketMan,1997,5.9,10K,Fred Z. Randall is a geeky spacecraft designer who gets the chance to make his dream come true and travel to Mars.
2730,2730, Return of the Living Dead II,1988,5.7,21K,"Curious kids unearth the barrels that previously helped revive the dead, which proves the second time's an undead charm."
2731,2731, Clean and Sober,1988,6.7,7.2K,A hustling drug addict checks himself into rehabilitation to escape trouble with the law and realizes that it's exactly what he needs.
2732,2732, Traces of Red,1992,5.2,1.9K,"Jack sleeps with a waitress, who's later murdered. Did Jack's usual lover do it? Palm Beach detectives Jack and Steve investigate. Twists follow."
2733,2733, O,2001,6.1,22K,"An update of Shakespeare's 'Othello' with a young cast, set in an upper class prep school, & centered around basketball player Odin."
2734,2734, Close-Up,1990,8.2,23K,"The true story of Hossain Sabzian, a cinephile who impersonated the director Mohsen Makhmalbaf to convince a family they would star in his so-called new film."
2735,2735, Fearless,1993,7.1,24K,A man's personality is dramatically changed after surviving a major airline crash.
2736,2736, The Libertine,2004,6.2,38K,"The story of John Wilmot, a.k.a. the Earl of Rochester, a 17th century poet who famously drank and debauched his way to an early grave, only to earn posthumous critical acclaim for his life's work."
2737,2737, Wildcats,1986,6.0,15K,A rookie high school football coach has a harder time than she expected trying to whip her tough inner city team into shape.
2738,2738, Memories,1995,7.5,21K,"An animated science fiction anthology from the visionary anime director, Katsuhiro Otomo."
2739,2739, Slumber Party Massacre II,1987,4.7,7.4K,"Courtney Bates, the younger sister of Valerie, and her friends go to a condo for a weekend getaway, but Courtney can't get rid of the haunting feeling that a supernatural rockabilly driller killer is coming to murder them all."
2740,2740, The Beast of War,1988,7.3,11K,A Soviet tank and its warring crew become separated from their patrol and lost in an Afghan valley with a group of vengeance-seeking rebels on their tracks.
2741,2741, Exotica,1994,7.0,21K,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away."
2742,2742, Total Eclipse,1995,6.5,17K,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle."
2743,2743, Swimfan,2002,5.1,21K,A high school senior with a promising swimming career has a one-night stand with consequences.
2744,2744, C.H.U.D.,1984,5.6,14K,A bizarre series of sudden disappearances on the streets of New York City seems to point toward something unsavory living in the sewers.
2745,2745, Calvaire,2004,6.1,14K,"Marc, a traveling entertainer, is on his way home for Christmas when his van breaks down in the middle of a jerkwater town with some strange inhabitants."
2746,2746, Two Hands,1999,7.1,14K,A 19 year old finds himself in debt to a local gangster when some gang loot disappears and sets him on the run from thugs. Meanwhile two street kids start a shopping spree when they find the missing money.
2747,2747, The Indian in the Cupboard,1995,6.0,31K,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick."
2748,2748, Sister My Sister,1994,6.5,3.6K,Two sisters separated in childhood reunite years later as servants at a household in France. Their happiness to be reunited spirals into an incestuous relationship.
2749,2749, Into the Night,1985,6.4,14K,"After discovering that his wife is cheating on him, an insomniac aerospace engineer accidentally meets, and tries to help, a beautiful model on the run from some extremely dangerous people."
2750,2750, Sinbad and the Eye of the Tiger,1977,6.4,8.6K,Sinbad The Sailor sails to deliver a cursed prince to a dangerous island in the face of deadly opposition from a powerful witch.
2751,2751, Crooklyn,1994,7.0,11K,"Spike Lee's vibrant semi-autobiographical portrait of a school teacher, her stubborn jazz musician husband and their five kids living in Brooklyn in 1973."
2752,2752, The Doom Generation,1995,6.1,18K,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts."
2753,2753, The Ballad of Jack and Rose,2005,6.5,12K,A father and daughter isolated on an island off the East Coast and living on a once-thriving commune grapple with the limits of family and sexuality.
2754,2754, Psycho II,1983,6.6,31K,"After twenty-two years of psychiatric care, Norman Bates attempts to return to a life of solitude, but the specters of his crimes - and his mother - continue to haunt him."
2755,2755, Regarding Henry,1991,6.7,34K,"After being shot, a lawyer loses his memory and must relearn speech and mobility, but he has a loving family to support him."
2756,2756, Thumbelina,1994,6.2,19K,"This retelling of the Hans Christian Andersen classic fairy tale has the digit-sized heroine evading the clutches of various toads, moles, and beetles before she can proceed with her courtship with her dream lover, Prince Cornelius."
2757,2757, Ms .45,1981,6.8,12K,"A timid and mute seamstress goes insane after being attacked and raped twice in one day, in which she takes to the streets of New York City after dark and randomly shoots men with a .45 caliber pistol."
2758,2758, Boxcar Bertha,1972,6.0,11K,"During the Great Depression, a union leader and a young woman become criminals to exact revenge on the management of a railroad."
2759,2759, Untamed Heart,1993,6.8,15K,A waitress hardly notices a shy busboy who secretly loves her; until one night she's attacked and he comes to her rescue. From there a relationship sparks but one secret could mean disaster for these fated lovers.
2760,2760, The Bonfire of the Vanities,1990,5.6,27K,"After his mistress runs over a young teen, a Wall Street hotshot sees his life unravel in the spotlight and attracts the interest of a down-and-out reporter."
2761,2761, Max Keeble's Big Move,2001,5.4,8.7K,"Max Keeble, the victim of his 7th grade class, plots revenge when he learns that he's moving, but it backfires when he isn't after all."
2762,2762, Cowboy Bebop: The Movie,2001,7.8,53K,"A terrorist explosion releases a deadly virus on the masses, and it's up to the bounty-hunting Bebop crew to catch the cold-blooded culprit."
2763,2763, Major League II,1994,5.6,28K,"The Indians are now a World Series contender. But last year's hunger is now replaced with complacency, and bad decisions by the new owner threaten to tear the team apart."
2764,2764, Halloween: Resurrection,2002,3.9,49K,"Three years after he last terrorized his sister, Michael Myers confronts her again, before traveling to Haddonfield to deal with the cast and crew of a reality show which is being broadcast from his old home."
2765,2765, White Nights,1985,6.6,8.2K,"A Russian American ballet dancer's airplane is forced to land in USSR, where he's ""repatriated"". He stays with an American man married to a Russian. Will the American help him flee USSR?"
2766,2766, Sholay,1975,8.1,59K,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
2767,2767, Private Benjamin,1980,6.2,29K,A sheltered young high-society woman joins the United States Army on a whim and finds herself in a trickier situation than she ever expected.
2768,2768, Billy Jack,1971,6.2,6.6K,"Ex-Green Beret hapkido expert saves wild horses from being slaughtered for dog food and helps protect a desert ""freedom school"" for runaway."
2769,2769, Ice Princess,2005,6.0,29K,"With the help of her coach, her mom, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater."
2770,2770, Spookies,1986,4.9,4.1K,A wicked sorcerer tries to sacrifice a group of people inside his house with the intention of using their vitality to keep his wife alive.
2771,2771, Saturn 3,1980,5.1,10K,Two lovers stationed at a remote base in the asteroid belt of Saturn are intruded upon by an anal-retentive technocrat from Earth and his charge: a malevolent eight foot tall robot.
2772,2772, Night Moves,1975,7.1,18K,"Los Angeles private investigator Harry Moseby is hired by a client to find her runaway teenage daughter. Moseby tracks the daughter down, only to stumble upon something much more intriguing and sinister."
2773,2773, Missing in Action,1984,5.4,16K,Colonel Braddock launches a mission deep into the jungles of Vietnam to find the POW camp that he escaped from and free the Americans still held captive there.
2774,2774, The Principles of Lust,2003,5.0,1.3K,"Crippled by his writer's block, Paul enters into a new, exciting relationship with risk-taking Billy and super-sexy Juliette. As it becomes increasingly tangled, however, he must choose one of them over the other."
2775,2775, Pelle the Conqueror,1987,7.8,12K,"When his wife dies, Lasse takes his 12-year-old son, Pelle, from their home in Sweden to Denmark in search of a better life."
2776,2776, Lagaan: Once Upon a Time in India,2001,8.1,120K,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
2777,2777, Bridget Jones: The Edge of Reason,2004,6.0,122K,"After finding love, Bridget Jones questions if she really has everything she'd ever dreamed of having."
2778,2778, Manderlay,2005,7.2,25K,"A story of slavery, set in the southern U.S. in the 1930s."
2779,2779, Unlawful Entry,1992,6.4,19K,A burglar holds a knife to Karen's throat while her husband does nothing. The couple ends up befriending the cop that comes. The friendship ends when the cop beats up the culprit. Karen isn't ready to end it. Things get ugly with the cop.
2780,2780, My Bloody Valentine,1981,6.2,25K,A decades-old folk tale surrounding a deranged murderer killing those who celebrate Valentine's Day turns out to be true to legend when a group defies the killer's order and people start turning up dead.
2781,2781, The Driver,1978,7.1,19K,A getaway driver becomes the latest assignment for a tenacious detective.
2782,2782, Show Me Love,1998,7.5,55K,"Two teenage girls in small-town Sweden. Elin is beautiful, popular, and bored with life. Agnes is friendless, sad, and secretly in love with Elin."
2783,2783, On the Silver Globe,1988,7.1,4.5K,"A team of astronauts land on an inhabitable planet and form a society. Many years later, a single astronaut is sent to the planet and becomes a messiah."
2784,2784, For Love of the Game,1999,6.6,37K,"After 19 years of playing the game he's loved his whole life, Detroit Tigers pitcher Billy Chapel has to decide if he's going to risk everything and put everything out there."
2785,2785, Deep End,1970,7.2,7.4K,"15-year-old dropout Mike takes a job at Newford Baths, where inappropriate sexual behaviour abounds, and becomes obsessed with his coworker Susan."
2786,2786, Romance & Cigarettes,2005,6.2,13K,This down-and-dirty musical set in the world of working-class New York tells the story of a husband's journey into infidelity and redemption when he must choose between his seductive mistress and his beleaguered wife.
2787,2787, Swamp Thing,1982,5.3,16K,"After a violent incident with a special chemical, a research scientist is turned into a swamp plant monster."
2788,2788, Cry Wolf,2005,5.8,28K,"Eight unsuspecting high school seniors at a posh boarding school, who delight themselves on playing games of lies, come face-to-face with terror and learn that nobody believes a liar - even when they're telling the truth."
2789,2789, Joysticks,1983,4.5,2.6K,"When a top local businessman and his two bumbling nephews try to shut down the town's only video arcade, arcade employees and patrons fight back."
2790,2790, Thriller: A Cruel Picture,1973,6.4,8.5K,"A young woman, rendered mute after a childhood sexual assault, is trained to seek violent revenge on those who kidnapped and forced her into prostitution."
2791,2791, Tess,1979,7.3,18K,A strong-willed young peasant girl attracts the affection of two men.
2792,2792, Amarcord,1973,7.8,47K,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
2793,2793, Angst,1983,7.2,13K,A troubled man gets released from prison and starts taking out his sadistic fantasies on an unsuspecting family living in a secluded house.
2794,2794, Missing,1982,7.7,23K,"When an idealistic American writer disappears during the Chilean coup d'état in September 1973, his wife and father try to find him."
2795,2795, Gotcha!,1985,6.2,9.4K,"Jonathan plays Gotcha with fellow college students, testing ability as assassin or mark, using paintball guns on campus. He flies to Paris on vacation and, with a woman taking his virginity, on to Berlin, where the game/ammo gets real."
2796,2796, Black Knight,2001,4.9,43K,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England."
2797,2797, Victory,1981,6.6,33K,"As allied P.O.W.s prepare for a soccer game against the German National Team to be played in Nazi-occupied Paris, the French Resistance and British officers are making plans for the team's escape."
2798,2798, Coming Home,1978,7.3,15K,"In 1968 California, a woman whose husband is a Marine officer fighting in Vietnam falls in love with a former high school classmate who suffered a paralyzing combat injury in the war."
2799,2799, Cries & Whispers,1972,8.0,37K,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
2800,2800, Life or Something Like It,2002,5.8,28K,"A reporter interviews a psychic, who tells her that she's going to die and her life is meaningless."
2801,2801, The Mighty,1998,7.2,14K,"Two young boys are social outcasts in their community due to their disabilities and broken home lives. When they are paired together, they form a bond over their shared circumstances."
2802,2802, Macbeth,1971,7.4,15K,A ruthlessly ambitious Scottish lord seizes the throne with the help of his scheming wife and a trio of witches.
2803,2803, Death Machine,1994,5.6,4.8K,"After a mad genius inventor of killer robots and cyborgs at Chaank Armaments Corp. kills execs, he unleashes his ultimate death machine on the new cute CEO firing him."
2804,2804, Drumline,2002,5.9,36K,A band director recruits a Harlem street drummer to play at a Southern university.
2805,2805, Midway,1976,6.7,21K,A dramatization of the battle that was widely heralded as a turning point of the Pacific Theatre of World War II.
2806,2806, Saving Silverman,2001,5.8,43K,A pair of buddies conspire to save their best friend from marrying the wrong woman.
2807,2807, Red Sun,1971,6.8,11K,"In 1870, a gang robs a train and steals a ceremonial Japanese sword meant as a gift for the U.S. President, prompting a manhunt to retrieve it."
2808,2808, Michael,1996,5.7,45K,Two tabloid reporters checking out a report of the Archangel Michael living with an old woman find that it's true. But that's not the only surprise.
2809,2809, Malibu's Most Wanted,2003,5.2,21K,"A senator arranges for his son, a rich white kid who fancies himself black, to be kidnapped by a couple of black actors pretending to be murderers to try and shock him out of his plans to become a rapper."
2810,2810, Curly Sue,1991,5.9,23K,"A homeless man and his young companion, who survive by conning people, meet a woman who may need them even more than they need her."
2811,2811, Sheena,1984,4.9,5.5K,"Sheena grew up in the African wild, raised by a mystical witch woman. When her foster mother is framed for a murder Sheena is forced to flee, helped by her ability to talk to animals and her knowledge of the jungle."
2812,2812, The Center of the World,2001,5.8,5.2K,"A successful computer engineer meets a stripper in a cafe. He offers her $10,000 and she offers three days and nights of no penetration in Vegas."
2813,2813, Diner,1982,7.1,23K,A group of college-age buddies struggle with their imminent passage into adulthood in 1959 Baltimore.
2814,2814, SubUrbia,1996,6.7,11K,A group of suburban teenagers try to support each other through the difficult task of becoming adults.
2815,2815, Tammy and the T-Rex,1994,5.3,5.6K,"An evil scientist implants the brain of murdered high-school student Michael into a Tyrannosaurus. He escapes, wreaks vengeance on his high-school tormentors, and reunites with his sweetheart Tammy."
2816,2816, Ready to Rumble,2000,5.3,15K,Two slacker wrestling fans are devastated by the ousting of their favorite character by an unscrupulous promoter.
2817,2817, Loverboy,1989,6.0,8.8K,"Randy is still unfocused after 2 years in college. When his dad refuses to keep paying his tuition, he gets a job delivering pizzas. Several alluring cougars pay him $200 for pizza delivery and ""services rendered."" As for their husbands."
2818,2818, North,1994,4.5,15K,"Sick of the neglect he receives from his mom and dad, a young boy leaves home and travels the world in search of new parents."
2819,2819, Waxwork,1988,6.1,14K,A wax museum owner uses his horror exhibits to unleash evil on the world.
2820,2820, Twins of Evil,1971,6.6,6.4K,"A religious sect led by Gustav Weil hunts all women suspected of witchcraft, killing a number of innocent victims. Young Frieda, Gustav's niece, will involve herself in a devilish cult, and become an instrument of Justice in the region."
2821,2821, Satantango,1994,8.2,12K,"On the eve of a large payment, residents of a collapsing collective farm see their plans turn into desolation when they discover that Irimiás, a former co-worker who they thought was dead, is returning to the community."
2822,2822, Orlando,1992,7.1,19K,"After Queen Elizabeth I commands him not to grow old, a young nobleman struggles with love and his place in the world."
2823,2823, Any Which Way You Can,1980,6.1,21K,"A trucker turned prize fighter, his brother and their pet orangutan have a series of misadventures involving the mob, corrupt cops, motorcycle gangs and pretty dames."
2824,2824, Soul Man,1986,5.3,9K,"To achieve his dream of attending Harvard, a pampered teen poses as a young black man to receive a full scholarship."
2825,2825, Ju-on: The Grudge,2002,6.7,48K,A mysterious and vengeful spirit marks and pursues anybody who dares enter the house in which it resides.
2826,2826, Valerie and Her Week of Wonders,1970,7.1,11K,"Surreal tale in which love, fear, sex, and religion merge into one fantastic world. Based on a classical Czech novel of the same title."
2827,2827, The Experiment,2001,7.7,96K,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
2828,2828, Romper Stomper,1992,6.8,42K,A group of skinheads become alarmed at the way their neighbourhood is changing.
2829,2829, Air America,1990,5.8,30K,A young pilot finds himself recruited unwittingly into a covert and corrupt CIA airlift operation in Laos during the Vietnam conflict.
2830,2830, The Four Seasons,1981,6.8,5.5K,"Three couples vacation together every season. After one divorces, feelings of betrayal and more spawn criticisms of one another, but the things that keep them together are stronger than those which might pull them apart."
2831,2831, Summer Lovers,1982,5.8,4.5K,A young American couple and a French woman engage in a threesome in the Greek Islands.
2832,2832, High Art,1998,6.6,11K,A young female intern at a small magazine company and a drug-addicted lesbian photographer slowly fall in love while exploiting each other to advance their respective careers.
2833,2833, Rising Sun,1993,6.2,48K,"When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the company's executives and the investigating cop Tom Graham."
2834,2834, The Allnighter,1987,4.3,1.5K,A Southern California coed parties with her roommates and flirts with a surfer next door.
2835,2835, The Wood,1999,7.0,10K,"While dealing with a friend's cold feet on his wedding day, a writer reminisces about his youth with his best friends."
2836,2836, Eight Men Out,1988,7.2,22K,A dramatization of the Black Sox scandal when the underpaid Chicago White Sox accepted bribes to deliberately lose the 1919 World Series.
2837,2837, Father of the Bride Part II,1995,6.1,42K,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's."
2838,2838, Slaughterhouse-Five,1972,6.8,14K,Billy Pilgrim has mysteriously become unstuck in time. He goes on an uncontrollable trip back and forth from his birth in New York to life on a distant planet and back again to the horrors of the 1945 fire-bombing of Dresden.
2839,2839, Undercover Brother,2002,5.9,36K,"When ""The Man"" tries to derail a black candidate's presidential campaign, Undercover Brother and his fellow secret agents come to the rescue."
2840,2840, Eye of the Tiger,1986,5.6,2.5K,"Returning home from prison, a Vietnam War veteran sets out to clean up his hometown which has come under the control of a violent motorcycle gang."
2841,2841, Dead Again,1991,6.8,30K,"A woman who has lost her memory is taken in by a Los Angeles orphanage, and a private eye is enlisted to track down her identity, but he soon finds that he might have a past life connection to her that endangers their lives."
2842,2842, Joe Versus the Volcano,1990,5.9,40K,"When a hypochondriac learns that he is dying, he accepts an offer to throw himself in a volcano at a tropical island, and along the way there, learns to truly live."
2843,2843, The Last Waltz,1978,8.1,20K,A film account and presentation of the final concert of The Band.
2844,2844, The Musketeer,2001,4.7,15K,"Alexander Dumas' novel is updated with an eastern influence as D'Artagnan attempts to join the king's elite guards, the Royal Musketeers, and find the man who killed his parents."
2845,2845, The Killing of a Chinese Bookie,1976,7.3,15K,"A proud strip club owner is forced to come to terms with himself as a man when his gambling addiction gets him in hot water with the mob, who offer him only one alternative."
2846,2846, Switch,1991,5.8,10K,A sexist womanizer is killed by one of his former lovers and then reincarnated as a woman.
2847,2847, Screamers,1995,6.3,29K,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience."
2848,2848, Bastard Out of Carolina,1996,7.3,4.8K,A mother and daughter find their lives adversely affected when a new man enters the picture. Will their family ever be what they expect?
2849,2849, Thesis,1996,7.4,42K,"While doing a thesis about violence, Ángela finds a snuff video where a girl is tortured until death. Soon she discovers that the girl was a former student in her faculty..."
2850,2850, Only the Lonely,1991,6.3,12K,A Chicago cop must balance loyalty to his controlling mother and a relationship with a shy funeral home worker.
2851,2851, Rush,1991,6.7,9.9K,"Two small-town Texas cops go undercover to catch a major drug dealer and are sucked into the drug culture, compromising their assignment."
2852,2852, F/X,1986,6.7,22K,"A movie special effects man is hired to fake a real-life mob killing for a witness protection plan, but finds his own life in danger."
2853,2853, Lawman,1971,7.0,5.8K,A lawman from Bannock arrives in Sabbath to arrest all the cattlemen whose wild celebration the year before resulted in the accidental death of an old man.
2854,2854, The Pope of Greenwich Village,1984,6.6,9.8K,Two cousins unknowingly rob the mob and face the dangerous consequences.
2855,2855, Days of Being Wild,1990,7.4,25K,A man tries to find out who his real mother is after the woman who raised him tells him the truth.
2856,2856, Hard to Kill,1990,5.8,32K,"Targeted by the mob and its political supporters, hired assassins leave LAPD Detective Mason Storm for dead. Seven years later, he recovers from a deep coma, demanding justice and the opportunity to get even."
2857,2857, The Merchant of Venice,2004,7.0,38K,"In 16th century Venice, when a merchant must default on a large loan from an abused Jewish moneylender for a friend with romantic ambitions, the bitterly vengeful creditor demands a gruesome payment instead."
2858,2858, Super Size Me,2004,7.2,113K,"While examining the influence of the fast food industry, Morgan Spurlock personally explores the consequences on his health of a diet of solely McDonald's food for one month."
2859,2859, The Sweet Hereafter,1997,7.5,37K,"A bus crash in a small town brings a lawyer to defend the families, but he discovers everything isn't what it seems."
2860,2860, Nixon,1995,7.1,33K,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame."
2861,2861, The Avengers,1998,3.8,45K,Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.
2862,2862, Tucker: The Man and His Dream,1988,6.9,22K,"The story of Preston Tucker, the maverick car designer and his ill-fated challenge to the auto industry with his revolutionary car concept."
2863,2863, Searching for Bobby Fischer,1993,7.4,42K,A prepubescent chess prodigy is encouraged to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.
2864,2864, Silver Streak,1976,6.9,22K,"On a long-distance train trip, a man finds romance but also finds himself in danger of being killed, or at least pushed off the train."
2865,2865, Young Adam,2003,6.3,15K,A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.
2866,2866, Freddy's Dead: The Final Nightmare,1991,4.7,51K,"Dream-haunting Freddy Krueger returns once again to prowl the nightmares of Springwood's last surviving teenager, and of a woman whose personal connection to Krueger may mean his doom."
2867,2867, 8 Seconds,1994,6.6,5.7K,"This movie chronicles the life of Lane Frost, 1987 PRCA Bull Riding World Champion, his marriage and his friendships with Tuff Hedeman (three-time World Champion) and Cody Lambert."
2868,2868, Saving Grace,2000,6.9,19K,"A small-town English widow, facing financial troubles after her husband's suicide, turns to agriculture of an illegal kind."
2869,2869, Inferno,1980,6.5,24K,An American college student in Rome and his sister in New York investigate a series of killings in both locations where their resident addresses are the domain of two covens of witches.
2870,2870, Valentine,2001,4.9,30K,Five women are stalked by an unknown assailant while preparing for Valentine's Day.
2871,2871, Amazon Women on the Moon,1987,6.2,13K,"A spoof of low budget 1950s science-fiction movies, interspersed with various comedy sketches and fake commercials making fun of late-night television."
2872,2872, Species II,1998,4.5,31K,"An astronaut gets infected with alien DNA during the first mission on Mars and runs amok on earth. Preston and Laura team up with a peaceful, genetically re-engineered Sil to track the monster down."
2873,2873, The Thing Called Love,1993,6.4,8.7K,Newcomers to the country-music business seek love and stardom.
2874,2874, Private Resort,1985,5.2,9.2K,"The story of two adolescent boys who are guests at a Florida resort for the week-end. Their only interest is, of course, chasing girls, but fate has much more in store for them."
2875,2875, Running on Empty,1988,7.6,18K,The eldest son of a fugitive family comes of age and wants to live his own life.
2876,2876, Charlotte's Web,1973,6.9,23K,"Wilbur is a farm pig who's terrified that he'll end up on the dinner table. His friend Charlotte, a charming spider, comes to his rescue. She weaves words into her web, convincing the farmer that Wilbur is too special a pig to kill."
2877,2877, Brokedown Palace,1999,6.4,24K,Two women are arrested for smuggling while vacationing in Thailand.
2878,2878, Fantasia 2000,1999,7.1,41K,An update of the original film with new interpretations of great works of classical music.
2879,2879, Kama Sutra: A Tale of Love,1996,6.0,11K,Two female friends become sexual rivals at maturity.
2880,2880, Jackass: The Movie,2002,6.6,102K,Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time.
2881,2881, Stakeout,1987,6.7,28K,"Two detectives observe an escaped convict's ex-girlfriend, but complications set in when one of them falls for her."
2882,2882, Necronomicon: Book of Dead,1993,5.8,6.9K,"Lovecraft visualizes 3 stories in Necronomicon: The Drowned, The Cold and Whispers, about bringing a dead wife and child back to life, extending life and aliens."
2883,2883, Don't Say a Word,2001,6.3,57K,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret..."
2884,2884, Forces of Nature,1999,5.5,36K,A soon-to-be-married man encounters an exciting stranger after his plane suffers an accident on takeoff.
2885,2885, The Importance of Being Earnest,2002,6.8,25K,"In 1890s London, two friends use the same pseudonym (""Ernest"") for their on-the-sly activities. Hilarity ensues."
2886,2886, Death to Smoochy,2002,6.3,43K,"A kids' show host, Rainbow Randolph, is fired in disgrace while his replacement, Sheldon Mopes, A.K.A. Smoochy the Rhino, finds himself a rising star. Unfortunately for Sheldon, the business of kids' television isn't all child's play."
2887,2887, Women on the Verge of a Nervous Breakdown,1988,7.5,46K,A television actress encounters a variety of eccentric characters after embarking on a journey to discover why her lover abruptly left her.
2888,2888, Nowhere to Run,1993,5.7,26K,"Sam, an escaped convict, lands up on a farmland owned by a widow. When he learns that a ruthless contractor is trying to take over her land, he helps her to fight against the injustice."
2889,2889, Perdita Durango,1997,6.3,9.8K,"A psychotic criminal couple kidnaps a random teenage couple. The woman rapes the male captive, and lets him watch his lover being raped by the man. They then plan to sacrifice the couple."
2890,2890, Like Water for Chocolate,1992,7.1,19K,"When tradition prevents her from marrying the man she loves, a young woman discovers she has a unique talent for cooking."
2891,2891, An American Tail: Fievel Goes West,1991,6.5,28K,"Fievel's family decides to move out to the West, unaware that they are falling into a trap perpetrated by a smooth-talking cat."
